2024-06-27 20:03:27 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:27 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:28 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:28 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:29 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:29 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:29 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:30 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:30 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:31 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:31 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:31 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:32 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:32 - ID: [1], Class: box, InCount: 1, OutCount: 0
2024-06-27 20:03:33 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:33 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:34 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:34 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:35 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:35 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:36 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:36 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:36 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:37 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:37 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:38 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:39 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:40 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:41 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:42 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:44 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:45 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:46 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:47 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:48 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:49 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:50 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:51 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:52 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:53 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:55 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:56 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:57 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:58 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:03:59 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:00 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:01 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:02 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:04 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:05 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:06 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:07 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:08 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:09 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:10 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:11 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:13 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:14 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:15 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:16 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:17 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:18 - ID: [1, 2], Class: box, InCount: 2, OutCount: 0
2024-06-27 20:04:19 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:21 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:22 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:23 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:24 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:25 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:26 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:27 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:29 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:30 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:31 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:32 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:33 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:34 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:35 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:37 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:38 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:39 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:40 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:41 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:42 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:43 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:44 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:46 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:47 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:48 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:49 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:50 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:51 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:51 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:52 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:54 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:55 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:56 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:57 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:58 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:04:59 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:00 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:01 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:02 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:03 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:04 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:05 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:07 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:08 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:09 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:10 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:11 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:12 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:13 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:14 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
2024-06-27 20:05:15 - ID: [1, 2, 7], Class: box, InCount: 3, OutCount: 0
